route_id,zone,population,risk_level,road_capacity,distance_km,avg_speed_kmph,evac_time_min
R29,C,4386,0.61,137,20.3,30.6,167.2
R15,B,2122,0.49,202,22.4,40.6,67.9
R45,E,3573,0.8,174,2.0,42.9,8.5
R65,D,4838,0.81,128,28.2,57.0,141.9
R89,C,4649,0.7,395,6.6,45.8,18.8
R71,E,820,0.19,100,8.5,36.6,25.4
R9,B,1276,0.81,265,9.4,57.2,14.6
R88,E,4022,0.67,225,3.1,51.4,10.1
R1,A,3851,0.69,407,5.4,28.0,22.5
R8,C,4405,0.41,302,29.6,25.2,173.3
R88,B,3073,0.85,295,10.8,47.0,28.1
R63,D,2852,0.72,276,5.2,42.4,15.0
R11,B,3132,0.2,155,5.0,51.6,17.6
R81,D,4207,0.45,242,22.1,49.6,73.2
R8,B,452,0.85,365,25.9,45.0,38.8
R35,E,3264,0.14,351,9.2,59.5,17.9
R35,E,3216,0.92,85,2.6,41.3,18.1
R33,E,3100,0.68,491,8.2,24.5,32.8
R5,A,2052,0.64,253,3.6,53.1,7.4
R41,D,2910,0.33,471,4.9,30.1,15.8
R28,E,4175,0.31,316,14.1,51.1,38.4
R7,A,1404,0.9,317,8.4,58.3,12.5
R73,D,2836,0.35,219,16.4,47.9,47.1
R72,B,4499,0.76,88,9.1,43.8,76.2
R12,A,4154,0.43,188,28.3,38.4,141.9
R34,C,3794,0.22,341,27.4,34.6,100.4
R33,A,2214,0.11,101,17.9,34.1,100.5
R48,A,3372,0.56,336,11.9,45.5,31.4
R23,D,1306,0.93,338,12.7,50.1,21.1
R62,B,706,0.41,190,13.5,47.1,23.6
R88,C,466,0.4,195,22.4,27.9,59.7
R37,E,808,0.39,474,14.6,39.8,25.8
R99,E,1961,0.54,363,26.0,51.7,46.5
R44,A,3964,0.47,233,28.4,39.0,118.0
R86,D,3789,0.85,201,11.4,41.5,47.6
R91,D,980,0.53,250,17.7,50.8,29.1
R35,E,2824,0.53,177,4.7,46.5,15.7
R65,C,2420,0.22,336,7.6,36.4,21.6
R99,B,4977,0.94,360,13.6,55.8,34.8
R47,C,4657,0.31,302,7.8,26.5,44.9
R78,B,1663,0.16,315,26.5,59.8,40.6
R3,E,1631,0.66,237,6.4,24.8,26.1
R1,B,2592,0.61,435,14.8,20.6,68.8
R5,D,1838,0.45,279,19.0,55.6,34.0
R90,A,3708,0.46,320,21.4,29.8,93.0
R14,A,860,0.77,308,12.7,49.2,19.8
R27,E,1399,0.27,348,26.3,52.4,42.2
R9,D,2203,0.8,464,17.9,54.4,29.1
R79,C,474,0.65,247,14.3,59.7,17.1
R15,D,2456,0.46,372,3.9,31.8,12.2
R90,A,2530,0.49,105,15.0,48.4,63.4
R42,A,4587,0.32,368,25.0,24.6,137.0
R77,D,4460,0.74,252,19.2,36.3,87.9
R51,D,4220,0.54,320,25.3,53.9,65.3
R63,A,1797,0.37,158,15.8,34.7,58.4
R96,C,4154,0.61,165,5.3,43.6,25.7
R52,E,3471,0.95,141,2.4,40.2,12.4
R96,E,1867,0.47,187,10.5,45.8,27.5
R4,D,1451,0.88,471,21.5,58.9,28.6
R94,E,668,0.39,352,24.1,22.2,77.5
R23,A,342,0.15,106,10.3,43.0,19.0
R15,A,2207,0.27,99,15.9,54.5,56.5
R43,D,3790,0.46,120,13.8,39.3,87.6
R29,D,2835,0.29,448,13.5,23.1,57.3
R36,D,4473,0.1,451,8.5,42.4,24.0
R13,C,3173,0.88,131,5.8,33.3,35.8
R32,E,2124,0.82,421,7.5,26.2,25.8
R71,D,1593,0.73,154,3.5,54.0,7.9
R59,B,3686,0.24,137,7.5,40.9,40.6
R86,B,3272,0.2,51,2.3,57.3,17.9
R28,A,4222,0.16,409,19.6,52.2,45.8
R66,E,1292,0.72,133,10.9,47.7,27.0
R42,D,2686,0.89,92,29.2,20.2,340.0
R45,B,2540,0.47,203,7.4,37.1,26.9
R62,E,1776,0.2,376,11.7,27.9,37.0
R57,A,3707,0.54,471,12.0,56.4,22.8
R6,C,689,0.4,143,2.2,27.0,7.2
R28,E,1299,0.42,347,25.5,31.4,67.0
R28,E,4920,0.63,182,2.9,40.7,15.8
R44,C,2155,0.71,444,28.3,30.5,82.7
R84,E,958,0.19,114,27.0,28.4,105.0
R30,A,3063,0.13,339,17.0,44.0,44.1
R62,A,3963,0.95,425,17.2,23.6,84.5
R75,C,1781,0.3,306,20.3,22.3,86.4
R92,D,4031,0.15,435,12.8,34.9,42.4
R89,B,751,0.26,262,20.1,48.8,31.8
R62,D,2775,0.13,197,3.3,42.2,11.3
R97,E,3522,0.43,110,3.5,36.9,23.9
R1,B,1837,0.78,198,14.8,42.6,40.2
R27,C,3393,0.39,137,17.4,34.6,104.9
R62,C,1182,0.48,373,26.9,57.4,37.0
R77,B,4708,0.67,432,4.9,22.2,27.7
R3,A,4368,0.53,445,25.0,46.9,63.4
R70,B,2866,0.83,327,7.9,55.7,16.0
R72,E,3577,0.84,453,13.0,52.2,26.7
R27,A,674,0.11,131,10.9,27.4,36.1
R9,C,4846,0.76,178,13.2,31.8,92.7
R62,B,3997,0.49,335,6.2,48.7,16.8
R37,D,3362,0.94,431,16.1,23.4,73.5
R97,D,4990,0.51,402,24.4,52.5,62.5
R51,E,3550,0.94,329,14.4,48.8,36.8
R44,D,4895,0.74,319,15.7,49.2,48.5
R24,B,4859,0.31,341,25.8,24.0,156.4
R79,B,412,0.56,252,21.8,48.7,31.2
R59,D,3497,0.94,73,15.7,47.2,115.6
R32,B,2678,0.83,493,9.2,53.2,16.0
R96,E,2224,0.18,400,26.8,21.7,115.3
R88,A,439,0.7,360,18.2,20.9,58.6
R52,E,1724,0.39,257,8.2,34.9,23.6
R62,E,3249,0.11,329,9.5,26.0,43.6
R58,B,3468,0.44,254,24.5,42.3,82.2
R52,A,816,0.3,201,3.2,56.7,4.8
R12,B,2916,0.8,487,29.8,35.7,80.1
R39,C,1187,0.39,75,5.6,53.8,16.1
R2,B,3404,0.8,243,24.3,20.0,175.0
R3,B,349,0.1,385,13.1,26.7,32.1
R56,B,4251,0.36,471,15.8,21.2,85.1
R81,A,3860,0.3,287,26.7,33.1,113.5
R59,B,318,0.3,370,13.6,56.3,15.7
R2,A,1773,0.16,124,17.0,23.9,103.7
R2,D,4361,0.26,484,3.4,44.3,8.8
R92,C,2906,0.57,212,2.1,38.1,7.8
R54,A,751,0.35,348,8.9,57.5,11.3
R87,D,4065,0.45,78,21.1,24.9,315.8
R96,A,2738,0.42,214,5.4,28.5,25.9
R97,A,4610,0.84,386,5.2,21.2,32.3
R1,C,1849,0.87,235,13.5,37.4,38.7
R19,E,3774,0.52,103,20.1,31.1,180.9
R2,E,427,0.38,344,21.9,54.8,27.0
R53,A,3061,0.19,91,7.0,44.2,41.5
R44,B,4756,0.91,461,4.2,44.6,11.5
R90,D,4964,0.15,334,28.3,41.3,102.2
R32,B,1715,0.35,476,9.3,23.7,32.0
R70,B,501,0.35,436,25.9,37.8,45.8
R32,A,2669,0.37,187,26.2,60.0,63.6
R68,A,817,0.24,236,23.6,53.4,35.7
R55,A,1641,0.77,447,6.7,55.7,9.9
R75,A,2288,0.2,253,25.0,52.9,54.0
R56,E,3845,0.64,480,23.5,24.1,105.4
R17,A,4820,0.21,91,18.7,29.1,242.8
R38,E,4102,0.16,399,11.4,20.1,69.0
R24,E,3575,0.87,465,9.4,32.1,31.1
R69,A,3954,0.26,337,5.4,24.3,29.0
R98,C,2734,0.8,475,16.3,38.9,39.6
R70,D,507,0.56,465,18.4,47.1,26.0
R86,B,2933,0.17,75,12.1,55.0,64.8
R11,E,4417,0.91,420,15.3,50.0,37.7
R16,D,453,0.31,434,12.2,57.5,14.1
R97,C,3666,0.83,105,19.9,22.2,241.6
R73,B,4614,0.24,302,27.2,20.5,201.2
R59,B,1818,0.83,171,6.6,46.5,17.6
R70,E,2900,0.11,155,12.7,31.6,69.2
R80,A,2495,0.54,179,5.9,30.1,28.2
R93,C,4798,0.75,386,19.5,33.2,79.0
R3,E,4991,0.89,207,22.4,30.8,148.8
R20,C,3854,0.87,425,28.1,40.5,79.4
R59,A,2714,0.8,280,9.8,37.6,30.8
R36,A,3149,0.85,357,28.6,40.5,79.7
R19,E,2042,0.27,140,3.8,46.9,12.0
R90,A,1606,0.34,442,18.9,35.5,43.6
R67,D,4149,0.35,71,3.6,30.1,49.1
R19,B,4468,0.42,339,27.0,26.6,141.2
R20,E,4876,0.43,159,16.8,34.0,120.6
R96,C,4955,0.56,98,20.7,49.7,151.3
R71,D,4495,0.24,178,25.3,50.3,106.4
R52,E,2855,0.69,122,6.2,46.7,26.6
R33,A,2605,0.24,389,3.1,29.4,10.6
R40,A,4808,0.36,102,26.6,43.5,209.6
R39,A,1388,0.53,405,10.8,42.8,20.3
R82,A,2942,0.78,429,5.6,39.4,14.4
R1,C,1477,0.73,217,15.1,42.0,36.3
R11,D,3294,0.65,94,18.8,39.7,128.0
R92,B,859,0.23,442,2.9,42.6,4.9
R57,C,3264,0.56,154,9.7,48.6,37.4
R89,C,1571,0.17,199,2.9,24.4,12.8
R50,B,2113,0.42,195,13.8,50.0,34.5
R23,B,3215,0.45,253,27.1,25.4,145.4
R31,A,909,0.13,411,29.5,22.7,95.2
R94,C,2761,0.33,348,19.8,59.0,36.1
R42,E,4420,0.91,216,6.5,58.3,20.4
R99,B,583,0.91,250,27.4,22.4,90.5
R7,B,3228,0.4,183,16.5,37.7,72.6
R16,D,4696,0.14,260,6.3,27.4,38.7
R90,E,1391,0.25,97,27.8,39.4,103.0
R60,E,1116,0.43,175,23.2,53.2,42.9
R2,B,382,0.91,288,22.5,58.0,26.4
R1,A,2220,0.22,56,21.9,45.4,143.7
R48,D,3791,0.75,321,7.6,34.2,29.1
R12,E,3444,0.19,434,7.9,44.1,19.3
R69,B,2393,0.93,420,21.3,32.5,61.7
R37,E,475,0.42,86,8.2,56.4,13.5
R32,D,3004,0.76,260,14.3,54.8,33.7
R9,D,669,0.39,214,23.9,42.3,44.5
R99,C,2118,0.63,174,24.0,33.0,96.8
R19,B,2401,0.26,386,14.7,31.7,45.1
R48,D,3790,0.22,241,24.2,21.3,175.4
R80,C,2079,0.9,267,25.5,52.6,51.7
R3,C,1664,0.88,263,20.3,38.0,52.3
R20,E,4762,0.85,111,8.4,33.0,80.8
R24,E,3642,0.63,377,9.7,38.8,29.5
R54,C,3976,0.79,494,10.8,52.7,22.2
R33,E,2726,0.16,430,5.3,25.0,20.8
R24,D,372,0.38,210,9.6,54.3,12.5
R75,A,3262,0.37,115,7.9,55.9,32.5
R72,D,1159,0.64,335,14.7,57.9,20.5
R36,C,4156,0.4,288,27.4,35.9,111.9
R38,C,4438,0.23,69,4.9,28.7,76.1
R84,D,2724,0.61,237,22.2,34.9,82.0
R99,E,1364,0.79,131,21.2,33.3,78.0
R89,E,2517,0.42,412,4.7,27.0,16.8
R99,C,4317,0.21,251,27.8,44.3,102.4
R25,B,2559,0.27,457,17.9,39.1,42.8
R93,E,4051,0.3,181,12.2,54.6,43.4
R18,D,2386,0.35,86,23.2,21.3,246.7
R82,E,668,0.65,181,9.2,45.8,16.5
R66,D,3104,0.61,126,21.4,50.5,88.1
R54,C,450,0.69,138,3.1,50.4,4.9
R35,E,1434,0.41,451,25.5,55.4,36.4
R80,D,3084,0.8,302,14.5,49.2,35.7
R61,C,4464,0.27,393,19.8,57.1,44.4
R41,B,2646,0.5,243,8.2,33.3,30.9
R100,D,2550,0.78,225,21.0,40.1,67.0
R33,B,360,0.25,82,23.6,20.6,98.9
R68,B,3310,0.19,107,15.2,20.3,183.9
R33,A,4201,0.85,250,19.3,29.6,104.9
R14,E,1637,0.39,77,14.8,24.0,115.7
R21,D,1484,0.68,84,27.0,30.4,147.4
R48,B,4726,0.12,174,15.9,27.1,130.8
R20,A,1851,0.69,443,25.6,21.1,103.2
R8,C,4733,0.37,370,24.4,56.4,59.2
R7,D,1929,0.15,91,13.5,20.3,124.5
R67,B,1627,0.62,134,8.4,49.4,22.6
R17,E,1826,0.3,442,13.4,26.1,43.5
R33,A,1973,0.43,237,25.1,56.5,48.8
R48,B,1661,0.17,160,8.4,55.7,18.4
R76,E,1873,0.23,320,16.7,46.2,34.4
R59,B,2986,0.35,490,24.6,46.9,50.6
R86,D,4670,0.18,374,11.9,20.2,79.5
R22,D,2666,0.87,154,20.0,59.4,55.2
R30,D,4057,0.11,455,8.9,55.1,18.3
R38,A,2734,0.51,369,5.1,55.8,9.5
R51,D,2293,0.2,90,24.2,46.4,111.0
R54,E,1169,0.36,264,4.8,33.8,12.3
R8,B,1314,0.89,120,9.6,55.7,21.7
R27,C,2211,0.24,105,25.9,31.7,152.2
R27,E,902,0.92,456,11.7,42.5,19.8
R98,E,4121,0.27,285,29.2,24.0,178.6
R21,D,990,0.73,330,29.4,56.9,40.3
R30,A,793,0.56,154,9.5,25.6,33.7
R97,B,789,0.85,439,3.1,29.0,7.6
R28,A,2856,0.57,424,21.7,42.3,51.5
R64,B,4785,0.55,211,14.6,50.6,56.6
R97,B,594,0.27,240,4.8,44.8,8.0
R69,A,4327,0.24,58,21.8,29.3,377.7
R61,E,3143,0.88,109,2.9,20.0,33.8
R48,B,3212,0.38,430,26.4,50.3,55.0
R19,A,2017,0.42,354,5.9,59.4,9.4
R4,B,2896,0.75,274,5.6,52.4,13.2
R35,C,2173,0.39,356,6.9,38.4,17.4
R64,E,4963,0.91,237,28.9,56.2,95.5
R49,D,3558,0.73,119,21.4,36.4,140.7
R17,B,3117,0.61,342,24.4,41.0,68.3
R44,C,744,0.85,336,13.1,39.1,24.6
R92,D,3941,0.14,218,11.4,37.9,50.7
R30,D,4758,0.32,111,8.6,51.0,53.5
R93,B,1041,0.5,398,15.5,41.1,28.5
R46,A,2341,0.29,491,17.5,32.7,47.4
R6,B,979,0.73,63,19.7,30.3,99.6
R99,C,2767,0.88,213,9.2,21.5,59.0
R37,D,3997,0.46,469,28.6,43.3,73.4
R24,B,1658,0.39,294,6.8,29.2,21.9
R93,A,362,0.92,384,29.0,25.9,73.5
R46,B,2859,0.48,57,2.4,46.2,18.8
R53,E,4069,0.52,203,15.5,47.2,59.2
R95,A,4651,0.4,85,11.3,50.1,87.6
R99,C,434,0.87,97,14.6,40.1,31.6
R60,D,3944,0.58,134,18.0,55.8,76.3
R97,B,2435,0.75,77,14.2,57.5,61.7
R63,A,3578,0.79,245,13.6,52.3,38.4
R85,E,1122,0.39,495,22.5,45.4,36.5
R32,A,3374,0.47,257,21.2,32.1,91.6
R87,E,3281,0.82,253,25.3,59.3,58.8
R33,C,420,0.41,356,9.0,31.0,19.5
R67,D,1937,0.77,153,19.1,28.1,92.4
R18,C,1224,0.9,279,18.4,37.7,42.1
R25,B,944,0.63,475,12.4,22.3,40.0
R95,A,2332,0.73,150,15.6,59.1,40.5
R54,E,3061,0.78,78,10.8,43.5,73.4
R58,E,2368,0.82,176,6.0,42.3,20.0
R67,A,541,0.44,387,8.0,46.2,11.8
R46,A,2968,0.14,59,5.0,39.9,45.3
R24,B,1102,0.44,155,21.1,21.3,101.7
R32,C,4464,0.67,216,20.5,44.5,84.8
R47,E,495,0.48,306,28.6,48.6,41.0
R86,B,2487,0.74,344,22.4,36.7,63.1
R23,C,3815,0.4,326,3.5,50.3,9.1
R66,B,2630,0.64,114,26.8,29.1,182.7
R27,E,2659,0.26,320,26.2,28.9,99.6
R2,A,3906,0.74,437,14.4,26.5,61.7
R90,A,576,0.56,237,18.4,34.9,39.3
R17,C,360,0.27,366,29.3,53.9,35.8
R33,D,3690,0.35,453,16.9,53.1,34.7
R9,C,2213,0.74,187,27.3,35.3,101.3
R43,D,4227,0.51,392,4.3,43.6,12.3
R48,B,2891,0.28,154,7.3,48.8,25.8
R39,B,866,0.92,83,14.3,29.6,59.2
R93,E,4235,0.71,429,18.4,26.7,82.2
R42,D,1871,0.91,159,24.9,58.9,55.2
R26,E,1500,0.46,481,29.7,44.7,52.3
R99,A,4709,0.5,82,12.9,59.3,88.0
R50,D,3154,0.86,403,3.3,33.5,10.5
R25,C,3195,0.55,280,24.4,48.1,65.2
R24,A,1536,0.7,366,18.9,28.9,55.7
R13,A,436,0.31,315,7.6,30.4,17.1
R60,C,1329,0.48,231,15.9,40.5,37.1
R7,A,2456,0.2,389,22.8,32.8,68.0
R57,D,2894,0.28,114,23.6,26.7,187.7
R36,E,961,0.1,382,16.0,30.5,39.4
R45,A,2772,0.13,50,10.5,21.4,192.7
R20,D,2977,0.93,182,29.3,48.2,96.1
R65,B,2608,0.31,129,20.6,39.7,94.1
R8,D,386,0.66,320,13.4,23.8,37.9
R16,E,2812,0.81,290,9.9,26.9,43.5
R14,D,3242,0.57,77,22.5,24.1,291.9
R76,C,3073,0.23,272,8.8,44.5,25.3
R87,E,2804,0.72,72,6.8,23.8,83.9
R15,B,3610,0.61,158,16.8,50.2,66.0
R92,C,2000,0.72,156,10.1,20.8,66.5
R98,D,3970,0.75,194,19.6,30.0,119.4
R66,E,3000,0.93,418,5.3,55.6,9.8
R32,B,3929,0.59,403,20.3,48.7,49.4
R87,C,4890,0.39,446,9.9,22.9,54.4
R63,B,1947,0.65,447,2.0,52.8,3.3
R86,D,3618,0.16,188,5.6,39.7,24.8
R51,B,3987,0.86,333,28.1,53.9,68.7
R25,A,896,0.2,347,26.3,44.0,45.1
R58,C,4845,0.38,148,8.5,47.3,46.1
R63,B,784,0.79,366,23.8,59.7,29.0
R62,D,945,0.61,172,19.0,29.3,60.3
R22,D,3389,0.43,369,29.2,45.0,74.7
R58,B,4684,0.5,336,12.5,38.4,46.8
R58,D,1020,0.83,130,21.1,21.6,104.6
R86,E,798,0.39,59,3.8,20.6,26.0
R49,E,1973,0.84,57,13.1,24.8,141.4
R52,E,3367,0.17,454,29.0,46.0,65.9
R42,A,414,0.76,254,17.1,42.7,27.9
R70,B,3279,0.82,364,10.1,42.1,27.4
R15,A,2036,0.25,483,5.4,21.3,21.6
R54,D,3911,0.47,246,21.7,38.8,86.9
R60,A,2553,0.24,247,20.1,57.0,43.0
R97,D,2594,0.7,79,12.5,35.9,89.5
R8,D,3930,0.56,450,28.6,45.0,71.4
R53,C,446,0.64,69,2.6,51.2,5.0
R60,E,4282,0.27,97,10.5,51.4,66.4
R5,D,3753,0.28,179,27.8,40.8,126.6
R68,C,4807,0.14,342,11.0,54.3,29.2
R6,E,2710,0.37,434,9.1,35.7,24.8
R96,D,436,0.58,181,17.0,55.5,22.8
R94,D,3660,0.83,405,25.1,29.6,96.9
R47,A,3305,0.67,103,4.9,31.2,39.7
R99,A,3852,0.47,427,28.4,22.1,146.7
R55,E,318,0.91,330,24.3,51.8,30.9
R40,D,2542,0.71,436,7.1,36.7,18.4
R52,B,748,0.89,314,21.9,29.2,55.7
R16,A,2248,0.55,264,12.8,29.3,48.5
R13,E,1245,0.32,339,13.3,56.1,19.4
R30,D,4536,0.14,92,23.9,53.4,159.3
R19,D,2220,0.72,123,29.0,42.1,115.9
R17,B,3277,0.2,399,5.5,44.6,13.5
R63,E,4488,0.36,327,13.8,39.0,50.4
R19,D,4315,0.55,375,15.5,35.7,56.0
R92,A,538,0.58,291,12.5,56.6,15.7
R58,B,504,0.61,179,12.2,25.0,37.5
R55,E,2907,0.24,399,3.5,36.7,9.9
R90,B,4640,0.42,243,21.2,33.8,109.5
R90,A,3688,0.62,81,14.2,39.9,118.6
R62,E,3272,0.92,155,7.5,38.3,36.6
R23,B,4690,0.72,449,24.8,40.8,74.6
R9,C,2987,0.88,253,24.5,25.6,125.2
R12,A,4466,0.75,50,15.6,40.5,229.5
R1,A,1648,0.6,294,10.4,29.7,32.8
R58,A,4700,0.26,121,19.9,27.4,212.8
R1,C,1116,0.67,481,10.1,22.6,33.0
R34,C,1120,0.63,355,8.6,50.5,13.4
R96,D,492,0.61,446,22.5,37.1,40.4
R48,B,2076,0.52,64,3.1,45.1,17.5
R89,D,3945,0.55,102,4.7,49.1,28.0
R1,B,4924,0.38,477,2.2,47.2,5.7
R16,C,550,0.54,57,6.3,38.8,19.1
R61,C,2088,0.27,379,3.9,35.5,10.2
R64,D,4000,0.78,95,29.9,35.0,267.1
R63,E,2763,0.26,374,10.1,45.6,23.1
R69,D,1467,0.17,163,6.2,39.8,17.8
R22,B,4193,0.47,196,8.7,54.0,30.3
R93,D,1396,0.66,215,28.2,55.0,50.7
R67,A,2979,0.47,428,16.6,26.8,63.0
R76,B,2147,0.34,188,12.2,25.4,61.7
R26,B,4204,0.57,166,26.5,45.2,124.3
R16,E,804,0.39,348,13.1,32.0,30.2
R51,C,1921,0.89,325,11.4,20.7,52.6
R86,B,2772,0.88,453,7.8,55.5,13.6
R57,C,2846,0.53,326,12.6,29.1,48.7
R29,D,1687,0.38,387,10.9,57.2,16.4
R78,A,3294,0.73,362,21.0,48.7,49.4
R92,E,4116,0.13,227,10.1,50.5,33.8
R69,C,1017,0.5,379,18.2,28.1,49.3
R47,B,3784,0.39,403,3.8,29.4,15.0
R94,C,4734,0.88,203,7.4,40.9,36.2
R62,B,958,0.11,463,13.4,26.9,36.1
R69,C,4308,0.57,250,28.2,32.2,143.1
R76,B,4824,0.73,415,12.6,32.9,49.7
R16,D,4534,0.51,164,20.6,26.4,176.3
R90,B,4064,0.17,208,9.1,28.2,57.2
R90,B,3289,0.93,91,5.6,51.5,30.1
R48,A,4937,0.54,296,3.6,26.7,21.6
R85,B,2404,0.62,117,10.6,21.1,92.1
R39,A,1555,0.3,494,6.4,45.2,11.2
R100,E,2782,0.51,494,6.9,59.0,11.0
R33,A,683,0.46,375,23.3,33.2,49.8
R94,D,2907,0.16,383,2.4,24.7,10.3
R23,A,493,0.19,245,17.6,42.8,29.6
R10,E,4107,0.81,139,12.6,56.3,53.1
R69,D,4019,0.3,160,16.2,51.4,66.4
R100,C,2881,0.27,417,17.8,44.9,40.2
R34,C,2865,0.53,408,10.8,32.6,33.8
R52,A,3063,0.75,194,10.3,41.7,38.2
R95,A,3098,0.15,324,22.5,23.6,111.9
R10,E,2639,0.59,228,26.4,47.2,72.4
R19,E,3706,0.2,290,7.4,49.0,20.6
R58,B,1031,0.13,375,4.7,58.6,6.1
R96,E,3172,0.14,368,27.1,30.4,99.6
R1,B,3420,0.81,380,11.8,20.7,65.0
R69,D,4477,0.2,463,17.4,41.8,49.1
R4,A,2904,0.14,202,12.1,48.3,36.6
